시도,시군구,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월,2020. 01 월,2020. 02 월,2020. 03 월,2020. 04 월,2020. 05 월,2020. 06 월
강원,강릉,214842,214852,214799,214773,214560,214309,214173,214123,214281,214189,214174,214135,214055,213995,214016,213928,213846,213747,213605,213600,213727,213806,213765,213712,213658,213785,213871,214068,213952,213634,213214,213310,213279,213238,212989,212826,212727,212676,212664,212880,212957,212894,212858,212718,213106,213199,213366,213348,213335,213530,213563,213527,213442,213328,213273,213143,213037,212929,212863
강원,계,1547646,1548082,1549221,1549178,1549507,1549193,1548016,1547845,1548170,1547821,1548603,1548636,1548844,1549483,1550021,1550209,1550806,1549212,1548252,1547735,1547579,1547453,1547829,1547387,1547455,1547768,1547999,1549344,1550142,1548078,1546259,1546152,1545452,1545291,1544843,1544258,1543668,1543780,1543441,1543556,1543052,1541693,1540445,1540488,1540794,1540776,1540855,1540714,1540780,1540721,1540897,1541399,1541502,1540540,1539521,1538577,1537780,1538639,1539282
강원,고성,29719,29579,29419,29444,30060,29618,29378,29279,29288,29242,29381,29281,29039,28982,28922,28951,30114,29551,29188,29070,28989,28956,29235,29110,29011,28912,28696,28573,30029,29260,29038,28848,28739,28651,28596,28469,28360,28323,28217,28133,28144,28052,27928,27936,27860,27649,27554,27458,27398,27320,27283,27239,27260,27165,27080,27064,26959,26921,26886
강원,동해,94072,93973,93957,93977,93895,93864,93638,93550,93462,93392,93422,93448,93483,93458,93410,93349,93297,93289,93085,92943,92883,92814,92829,92847,92824,92763,92787,92902,92851,92555,92227,92023,91845,91802,91718,91651,91556,91477,91403,91363,91272,91107,90973,90885,90808,90700,90615,90608,90537,90472,90392,90337,90522,90417,90210,90263,90233,90366,90454
강원,삼척,71333,71273,71153,71174,70839,70362,69994,69940,69990,69964,69990,69852,69663,69550,70014,69913,69599,69141,68812,69305,69268,69212,69047,68900,68807,68885,68795,68704,68514,68334,68212,68407,68728,68668,68673,68603,68535,68737,68701,68589,68326,68057,67771,67893,68053,68016,67901,67854,67746,67721,67604,67518,67228,66806,66478,66088,65887,65834,65753
강원,속초,82240,82349,83191,82548,81992,82065,82134,82083,82069,81996,82145,82228,82724,83206,82776,82491,81793,81797,82318,81748,81635,81574,81431,81472,81537,81641,82215,82876,82273,82096,81956,81815,81724,81726,81727,81796,81756,81757,81798,81834,81682,81539,81442,81438,81497,81618,81700,81739,81749,81773,81792,81810,81786,81840,81744,81689,81713,81792,82059
강원,양구,24146,24133,24107,24120,24089,24052,23958,24035,24006,23931,24098,24035,24017,24014,23995,23953,24010,23911,23749,23875,23866,23888,24026,23889,23882,23864,23815,23867,23835,23743,23593,23686,23650,23651,23674,23536,23422,23407,23388,23380,23408,23342,23189,23328,23279,23248,23334,23246,23185,23121,23049,22921,22764,22526,22366,22301,22375,22378,22332
강원,양양,27496,27501,27464,27499,27479,27461,27356,27319,27329,27324,27339,27371,27314,27188,27216,27209,27218,27226,27254,27294,27319,27299,27284,27309,27302,27300,27242,27217,27207,27258,27245,27276,27270,27325,27325,27318,27319,27292,27270,27221,27347,27351,27430,27431,27519,27605,27621,27641,27643,27694,27714,27721,27726,27709,27729,27713,27710,27787,27808
강원,영월,40089,40074,40080,40078,40216,40097,40036,40081,40057,40043,40038,40054,40059,40070,40035,40064,40073,40058,40085,40092,40040,40068,40038,40057,40046,40056,40017,40053,40067,40051,40035,40067,40026,40033,40002,39966,39891,39916,39800,39783,39730,39581,39535,39539,39440,39389,39365,39305,39225,39176,39131,39106,39127,39040,38969,38938,38762,38759,38840
강원,원주,330274,330663,331559,332197,332995,334392,334797,335027,335450,335620,335818,336052,336275,336756,337501,337666,337979,338374,338701,338724,339146,339397,339592,339865,340196,340414,340644,341013,341337,341580,341783,341793,341877,342010,342138,342391,342497,342877,343367,343815,344070,344514,345143,345403,345712,346033,346536,347046,347506,347762,348158,348607,349215,350202,350897,351154,351421,351979,352201
