,15.08_시군구,15.08_합물특,15.09_시군구,15.09_합물특,15.10_시군구,15.10_합물특,15.11_시군구,15.11_합물특,15.12_시군구,15.12_합물특,16.01_시군구,16.01_합물특,16.02_시군구,16.02_합물특,16.03_시군구,16.03_합물특,16.04_시군구,16.04_합물특,16.05_시군구,16.05_합물특,16.06_시군구,16.06_합물특,16.07_시군구,16.07_합물특,16.08_시군구,16.08_합물특,16.09_시군구,16.09_합물특,16.10_시군구,16.10_합물특,16.11_시군구,16.11_합물특,16.12_시군구,16.12_합물특,17.01_시군구,17.01_합물특,17.02_시군구,17.02_합물특,17.03_시군구,17.03_합물특,17.04_시군구,17.04_합물특,17.05_시군구,17.05_합물특,17.06_시군구,17.06_합물특,17.07_시군구,17.07_합물특,17.08_시군구,17.08_합물특,17.09_시군구,17.09_합물특,17.10_시군구,17.10_합물특,17.11_시군구,17.11_합물특,17.12_시군구,17.12_합물특,18.01_시군구,18.01_합물특,18.02_시군구,18.02_합물특,18.03_시군구,18.03_합물특,18.04_시군구,18.04_합물특,18.05_시군구,18.05_합물특,18.06_시군구,18.06_합물특,18.07_시군구,18.07_합물특,18.08_시군구,18.08_합물특,18.09_시군구,18.09_합물특,18.10_시군구,18.10_합물특,18.11_시군구,18.11_합물특,18.12_시군구,18.12_합물특,19.01_시군구,19.01_합물특,19.02_시군구,19.02_합물특,19.03_시군구,19.03_합물특,19.04_시군구,19.04_합물특,19.05_시군구,19.05_합물특,19.06_시군구,19.06_합물특,19.07_시군구,19.07_합물특,19.08_시군구,19.08_합물특,19.09_시군구,19.09_합물특,19.10_시군구,19.10_합물특,19.11_시군구,19.11_합물특,19.12_시군구,19.12_합물특,20.01_시군구,20.01_합물특,20.02_시군구,20.02_합물특,20.03_시군구,20.03_합물특,20.04_시군구,20.04_합물특,20.05_시군구,20.05_합물특,20.06_시군구,20.06_합물특
0,강남,27989,강남,29078,강남,29394,강남,29331,강남,29231,강남,29161,강남,29036,강남,28835,강남,28782,강남,28658,강남,28533,강남,28321,강남,28214.0,강남,28196.0,강남,27954.0,강남,27977.0,강남,27876.0,강남,27944.0,강남,27968.0,강남,28056.0,강남,25123.0,강남,24906.0,강남,24799.0,강남,24783.0,강남,24698.0,강남,24656.0,강남,24574.0,강남,24477.0,강남,24355.0,강남,24272.0,강남,24205.0,강남,24147.0,강남,24093.0,강남,23982.0,강남,23711.0,강남,23623.0,강남,23553.0,강남,23546.0,강남,23393.0,강남,23281.0,강남,23238.0,강남,23245.0,강남,23160.0,강남,23113.0,강남,22950.0,강남,22766.0,강남,22743.0,강남,22667.0,강남,22534.0,강남,22419.0,강남,22308.0,강남,22312.0,강남,22185.0,강남,22153.0,강남,22101.0,강남,22032.0,강남,22015.0,강남,21881.0,강남,21781.0
1,강동,22813,강동,22787,강동,22747,강동,22689,강동,22632,강동,22616,강동,22569,강동,22487,강동,22366,강동,22343,강동,22293,강동,22271,강동,22159.0,강동,22082.0,강동,22068.0,강동,21942.0,강동,21785.0,강동,21798.0,강동,21792.0,강동,21749.0,강동,21725.0,강동,21651.0,강동,21632.0,강동,21600.0,강동,21506.0,강동,21672.0,강동,21580.0,강동,21419.0,강동,21302.0,강동,21252.0,강동,21250.0,강동,21191.0,강동,21051.0,강동,20947.0,강동,20939.0,강동,20901.0,강동,20797.0,강동,20813.0,강동,20749.0,강동,20660.0,강동,20605.0,강동,20629.0,강동,20637.0,강동,20533.0,강동,20457.0,강동,20409.0,강동,20307.0,강동,20270.0,강동,20248.0,강동,20222.0,강동,20244.0,강동,20307.0,강동,20329.0,강동,20374.0,강동,20319.0,강동,20345.0,강동,20309.0,강동,20325.0,강동,20317.0
2,강북,14383,강북,14395,강북,14373,강북,14376,강북,14355,강북,14306,강북,14277,강북,14242,강북,14257,강북,14260,강북,14225,강북,14211,강북,14176.0,강북,14161.0,강북,14124.0,강북,14074.0,강북,14018.0,강북,14007.0,강북,13983.0,강북,14003.0,강북,14018.0,강북,13992.0,강북,14031.0,강북,13989.0,강북,14000.0,강북,13990.0,강북,13950.0,강북,13879.0,강북,13833.0,강북,13826.0,강북,13800.0,강북,13737.0,강북,13744.0,강북,13725.0,강북,13713.0,강북,13707.0,강북,13652.0,강북,13620.0,강북,13585.0,강북,13582.0,강북,13539.0,강북,13559.0,강북,13548.0,강북,13465.0,강북,13388.0,강북,13336.0,강북,13291.0,강북,13247.0,강북,13227.0,강북,13198.0,강북,13162.0,강북,13091.0,강북,13022.0,강북,12985.0,강북,12980.0,강북,12925.0,강북,12926.0,강북,12910.0,강북,12914.0
3,강서,30769,강서,30646,강서,30626,강서,30676,강서,30725,강서,30724,강서,30679,강서,30661,강서,30615,강서,30600,강서,30628,강서,30655,강서,30476.0,강서,30287.0,강서,30182.0,강서,30269.0,강서,30256.0,강서,30271.0,강서,30264.0,강서,30308.0,강서,30283.0,강서,30234.0,강서,30552.0,강서,30418.0,강서,30389.0,강서,30425.0,강서,30328.0,강서,30161.0,강서,30127.0,강서,30201.0,강서,30255.0,강서,30306.0,강서,30371.0,강서,30201.0,강서,30294.0,강서,30268.0,강서,30102.0,강서,29994.0,강서,29870.0,강서,29896.0,강서,29919.0,강서,29989.0,강서,29947.0,강서,29895.0,강서,29739.0,강서,29566.0,강서,29481.0,강서,29420.0,강서,29264.0,강서,29127.0,강서,29054.0,강서,28894.0,강서,28981.0,강서,29153.0,강서,29035.0,강서,29004.0,강서,29086.0,강서,28987.0,강서,28885.0
4,관악,19418,관악,19407,관악,19311,관악,19254,관악,19198,관악,19268,관악,19252,관악,19273,관악,19247,관악,19218,관악,19166,관악,19106,관악,19008.0,관악,18969.0,관악,18894.0,관악,18898.0,관악,18806.0,관악,18823.0,관악,18796.0,관악,18723.0,관악,18694.0,관악,18667.0,관악,18603.0,관악,18537.0,관악,18499.0,관악,18461.0,관악,18437.0,관악,18419.0,관악,18361.0,관악,18356.0,관악,18320.0,관악,18241.0,관악,18221.0,관악,18165.0,관악,18106.0,관악,18102.0,관악,18065.0,관악,18049.0,관악,17973.0,관악,17890.0,관악,17832.0,관악,17793.0,관악,17773.0,관악,17676.0,관악,17600.0,관악,17579.0,관악,17504.0,관악,17438.0,관악,17378.0,관악,17350.0,관악,17263.0,관악,17203.0,관악,17074.0,관악,17055.0,관악,17026.0,관악,17008.0,관악,16986.0,관악,16914.0,관악,16880.0
5,광진,16868,광진,16873,광진,16792,광진,16732,광진,16586,광진,16632,광진,16599,광진,16547,광진,16566,광진,16526,광진,16499,광진,16455,광진,16415.0,광진,16452.0,광진,16441.0,광진,16351.0,광진,16304.0,광진,16225.0,광진,16156.0,광진,16096.0,광진,16060.0,광진,16053.0,광진,15902.0,광진,15827.0,광진,15761.0,광진,15747.0,광진,15742.0,광진,15738.0,광진,15680.0,광진,15643.0,광진,15580.0,광진,15504.0,광진,15531.0,광진,15514.0,광진,15745.0,광진,15957.0,광진,16166.0,광진,16476.0,광진,16604.0,광진,16725.0,광진,16767.0,광진,16741.0,광진,16714.0,광진,16245.0,광진,16193.0,광진,16115.0,광진,16081.0,광진,16051.0,광진,15962.0,광진,15903.0,광진,15855.0,광진,15906.0,광진,16118.0,광진,16097.0,광진,16088.0,광진,16020.0,광진,15970.0,광진,15947.0,광진,15904.0
6,구로,25491,구로,25436,구로,25458,구로,25436,구로,25342,구로,25299,구로,25253,구로,25228,구로,25235,구로,25253,구로,25089,구로,25108,구로,25028.0,구로,25007.0,구로,25022.0,구로,25060.0,구로,24988.0,구로,25022.0,구로,25086.0,구로,25140.0,구로,25110.0,구로,25121.0,구로,25127.0,구로,25139.0,구로,25098.0,구로,24976.0,구로,24926.0,구로,24887.0,구로,24819.0,구로,24747.0,구로,24675.0,구로,24658.0,구로,24635.0,구로,24628.0,구로,24728.0,구로,24733.0,구로,24646.0,구로,24596.0,구로,24621.0,구로,24501.0,구로,24437.0,구로,24446.0,구로,24374.0,구로,24416.0,구로,24338.0,구로,24194.0,구로,24125.0,구로,24094.0,구로,24071.0,구로,24053.0,구로,24040.0,구로,24014.0,구로,24041.0,구로,23901.0,구로,23794.0,구로,23736.0,구로,23700.0,구로,23672.0,구로,23597.0
7,금천,18224,금천,18225,금천,18265,금천,18312,금천,18245,금천,18286,금천,18352,금천,18334,금천,18323,금천,18325,금천,18311,금천,18354,금천,18360.0,금천,18331.0,금천,18340.0,금천,18314.0,금천,18425.0,금천,18428.0,금천,18450.0,금천,18406.0,금천,18392.0,금천,18402.0,금천,18353.0,금천,18325.0,금천,18302.0,금천,18281.0,금천,18320.0,금천,18332.0,금천,18308.0,금천,18290.0,금천,18285.0,금천,18265.0,금천,18212.0,금천,18150.0,금천,18110.0,금천,18065.0,금천,18066.0,금천,18049.0,금천,18036.0,금천,18057.0,금천,18082.0,금천,18091.0,금천,18147.0,금천,18074.0,금천,18053.0,금천,17959.0,금천,17926.0,금천,17878.0,금천,17851.0,금천,17797.0,금천,17752.0,금천,17661.0,금천,17651.0,금천,17584.0,금천,17565.0,금천,17518.0,금천,17497.0,금천,17459.0,금천,17408.0
8,노원,21747,노원,21734,노원,21706,노원,21676,노원,21588,노원,21537,노원,21530,노원,21494,노원,21518,노원,21534,노원,21489,노원,21436,노원,21326.0,노원,21278.0,노원,21182.0,노원,21148.0,노원,21052.0,노원,21099.0,노원,21047.0,노원,21035.0,노원,21018.0,노원,20944.0,노원,20848.0,노원,20784.0,노원,20677.0,노원,20587.0,노원,20503.0,노원,20444.0,노원,20308.0,노원,20279.0,노원,20277.0,노원,20186.0,노원,20141.0,노원,20066.0,노원,20027.0,노원,19986.0,노원,19881.0,노원,19856.0,노원,19812.0,노원,19781.0,노원,19747.0,노원,19738.0,노원,19683.0,노원,19672.0,노원,19487.0,노원,19417.0,노원,19369.0,노원,19321.0,노원,19239.0,노원,19174.0,노원,19111.0,노원,19034.0,노원,19000.0,노원,19025.0,노원,18976.0,노원,18981.0,노원,18974.0,노원,18942.0,노원,18866.0
9,도봉,15933,도봉,15931,도봉,15887,도봉,15861,도봉,15835,도봉,15891,도봉,15863,도봉,15862,도봉,15895,도봉,15852,도봉,15823,도봉,15777,도봉,15768.0,도봉,15726.0,도봉,15679.0,도봉,15586.0,도봉,15559.0,도봉,15506.0,도봉,15481.0,도봉,15420.0,도봉,15382.0,도봉,15391.0,도봉,15394.0,도봉,15331.0,도봉,15293.0,도봉,15272.0,도봉,15279.0,도봉,15301.0,도봉,15275.0,도봉,15284.0,도봉,15269.0,도봉,15216.0,도봉,15225.0,도봉,15200.0,도봉,15215.0,도봉,15238.0,도봉,15215.0,도봉,15229.0,도봉,15206.0,도봉,15175.0,도봉,15170.0,도봉,15225.0,도봉,15242.0,도봉,15175.0,도봉,15088.0,도봉,15101.0,도봉,15047.0,도봉,14990.0,도봉,14932.0,도봉,14881.0,도봉,14845.0,도봉,14800.0,도봉,14721.0,도봉,14727.0,도봉,14742.0,도봉,14677.0,도봉,14631.0,도봉,14595.0,도봉,14584.0
